born_date,born_year,current_team,height,name,weight
,,, ,Gianluca Curcuruto,(Age: 26-323d)
January 8,1924, ,5-8,Bill Cupolo,170lb
,,, ,Luca Cunti,(Age: 31-193d)
March 3,1951, ,5-11,Rick Cunningham,180lb
October 4,1913, ,5-8,Les Cunningham,165lb
August 15,1956, ,5-11,Jim Cunningham,185lb
August 28,1950, ,6-0,Gary Cunningham,175lb
September 13,1990, ,5-10,Craig Cunningham,184lb
February 26,1941, ,5-11,Bob Cunningham,168lb
,,, ,Cam Cunning,(Age: 35-223d)
July 9,1943, ,5-9,John Cunniff,175lb
May 10,1961, ,6-0,Randy Cunneyworth,198lb
April 23,1990, ,5-9,Mark Cundari,195lb
May 17,1970, ,6-2,Jim Cummins,212lb
January 25,1949, ,5-9,Barry Cummins,175lb
December 2,1986, ,5-11,Kyle Cumiskey,180lb
January 19,1990, ,6-2,Tyler Cuma,196lb
December 4,1972, ,6-5,Jassen Cullimore,235lb
September 20,1941, ,5-11,Ray Cullen,180lb
November 2,1976, ,6-1,Matt Cullen,202lb
October 28,1978, ,5-11,Mark Cullen,182lb
August 2,1964, ,5-10,John Cullen,182lb
December 30,1976, ,6-2,David Cullen,209lb
November 11,1933, ,5-10,Brian Cullen,160lb
June 16,1935, ,6-0,Barry Cullen,183lb
December 15,1993, ,6-2,Ryan Culkin,201lb
July 12,1911, ,6-1,Nels Crutchfield,175lb
,,, ,Victor CrusRydberg,(Age: 25-298d)
March 16,1942, ,5-8,Roger Crozier,165lb
April 19,2000, ,6-1,Maxwell Crozier,195lb
February 19,1929, ,6-0,Joe Crozier,185lb
July 6,1976, ,6-3,Greg Crozier,200lb
May 3,1970, ,6-2,Ted Crowley,188lb
December 26,1955, ,5-9,Paul Crowley,182lb
July 4,1975, ,5-11,Mike Crowley,190lb
,,, ,Dane Crowley,(Age: 33-357d)
April 4,1970, ,6-2,Phil Crowe,230lb
May 3,1968, ,6-4,Troy Crowder,220lb
,,, ,Tim Crowder,(Age: 34-089d)
January 6,1959, ,6-0,Keith Crowder,190lb
March 25,1957, ,6-0,Bruce Crowder,180lb
February 6,1957, ,6-0,Jim Cross,187lb
January 3,1971, ,6-5,Cory Cross,225lb
August 7,1987,Pittsburgh Penguins,5-11,Sidney Crosby,200lb
October 2,1999, ,5-10,Angus Crookshank,181lb
August 20,1963, ,6-2,Shawn Cronin,225lb
April 16,1957, ,5-11,Mike Crombeen,190lb
July 10,1985, ,6-2,B.J. Crombeen,209lb
November 19,1914, ,5-11,Maurice Croghan,185lb
,,,,Glen Critch,
May 14,1967, ,6-2,Ed Cristofoli,205lb
May 28,1943, ,5-10,Terry Crisp,180lb
April 8,1994, ,6-3,Connor Crisp,220lb
May 5,1992, ,5-8,Kyle Criscuolo,180lb
April 13,1950, ,5-11,Jiri Crha,170lb
May 4,2001, ,6-7,Louis Crevier,209lb
August 29,1934, ,5-9,Glen Cressman,155lb
January 2,1950, ,6-1,Dave Cressman,180lb
July 29,1992, ,6-4,Andrew Crescenzi,199lb
November 18,1905, ,5-9,Jimmy Creighton,150lb
June 24,1930, ,6-1,Dave Creighton,195lb
June 2,1965, ,6-5,Adam Creighton,220lb
February 2,1997, ,6-1,Brandon Crawley,202lb
,,, ,Brandon Crawford-West,(Age: 38-196d)
November 7,1885, ,5-11,Rusty Crawford,165lb
July 20,1964, ,6-3,Murray Craven,195lb
June 15,1946, ,6-0,Bart Crashley,180lb
February 26,2002, ,6-3,Will Cranley,183lb
,,, ,Chris Crane,(Age: 29-042d)
October 26,1992, ,6-0,Joseph Cramarossa,192lb
April 24,1971, ,5-11,Dale Craigwell,180lb
November 23,1971, ,6-0,John Craighead,195lb
January 6,1982, ,6-1,Ryan Craig,215lb
June 6,1971, ,6-1,Mike Craig,185lb
May 31,1957, ,6-1,Jim Craig,190lb
July 15,1985, ,6-3,Adam Cracknell,209lb
April 3,1983, ,6-1,Joey Crabb,190lb
February 9,2001, ,6-3,Dylan Cozens,183lb
March 2,1992,Boston Bruins,6-3,Charlie Coyle,200lb
January 21,1964, ,6-4,Craig Coxe,210lb
October 12,1903, ,5-10,Danny Cox,180lb
July 19,1904, ,5-6,Abbie Cox,140lb
December 4,1964, ,6-0,Wayne Cowley,185lb
,,, ,Evan Cowley,(Age: 25-166d)
June 12,1912, ,5-10,Bill Cowley,165lb
November 3,1967, ,6-0,Rob Cowie,195lb
,,, ,Corey Cowick,(Age: 31-165d)
August 18,1951, ,6-1,Bruce Cowick,200lb
April 23,1968, ,6-2,Sylvain Couturier,205lb
December 7,1992,Philadelphia Flyers,6-3,Sean Couturier,211lb
July 24,1905, ,5-11,Rosie Couture,164lb
March 28,1989,San Jose Sharks,6-1,Logan Couture,200lb
August 6,1925, ,6-2,Gerry Couture,185lb
May 3,1951, ,5-11,Rich Coutu,176lb
March 1,1892, ,5-11,Billy Coutu,190lb
June 20,1993,Nashville Predators,5-11,Nick Cousins,185lb
,,, ,Marco Cousineau,(Age: 31-065d)
April 30,1973, ,5-9,Marcel Cousineau,183lb
April 2,1975, ,6-1,Larry Courville,180lb
June 2,1965, ,5-11,Russ Courtnall,185lb
,,, ,Justin Courtnall,(Age: 31-237d)
August 18,1962, ,6-1,Geoff Courtnall,204lb
February 2,1968, ,6-4,Ed Courtenay,215lb
April 25,1964, ,6-0,Yves Courteau,195lb
February 18,1920, ,5-8,Maurice Courteau,162lb
November 22,1943, ,5-7,Yvan Cournoyer,178lb
March 17,1951, ,5-10,Norm Cournoyer,170lb
,,, ,Adam Courchaine,(Age: 36-235d)
April 21,1911, ,6-2,Thomas Coulter,195lb
January 2,1963, ,6-2,Neal Coulter,190lb
May 31,1909, ,5-11,Art Coulter,185lb
February 17,1908, ,5-11,D'arcy Coulson,175lb
April 23,1985, ,5-11,Patrick Coulombe,185lb
November 16,1999,Vegas Golden Knights,6-0,Paul Cotter,191lb
January 19,1966, ,5-11,Sylvain Cote,201lb
December 22,1939, ,5-9,Roger Cote,184lb
March 16,1982, ,6-2,Riley Cote,220lb
May 31,1961, ,5-11,Ray Cote,170lb
January 24,1975, ,6-3,Patrick Cote,220lb
April 22,1982, ,6-3,Jean-Philippe Cote,213lb
April 14,1967, ,6-0,Alain Cote,207lb
May 3,1957, ,5-10,Alain Cote,203lb
February 21,1900, ,5-11,Charlie Cotch,175lb
July 7,2001, ,5-10,Arvid Costmar,180lb
June 27,1963, ,6-0,Rich Costello,175lb
February 24,1934, ,6-3,Murray Costello,190lb
February 16,1928, ,5-8,Les Costello,158lb
,,, ,Jeff Costello,(Age: 30-054d)
August 16,2002, ,5-11,Matteo Costantini,173lb
June 20,1954, ,5-9,Jacques Cossette,185lb
June 1,1999, ,6-0,Cole Coskey,198lb
February 4,1957, ,6-2,Ross Cory,195lb
June 20,1977, ,6-0,Joe Corvo,204lb
August 13,1966, ,6-1,Shayne Corson,202lb
April 3,1978, ,5-10,Daniel Corso,187lb
June 19,1954, ,5-10,Jim Corsi,180lb
February 8,1967, ,6-1,Yvon Corriveau,195lb
May 15,1928, ,5-8,Andre Corriveau,135lb
May 22,1916, ,6-2,Chuck Corrigan,192lb
March 17,1988, ,6-0,Matthew Corrente,205lb
March 26,1993, ,6-0,Frank Corrado,205lb
November 13,1972, ,6-1,Mark Cornforth,193lb
March 28,1990, ,6-0,Philippe Cornet,196lb
April 11,1996, ,6-2,Eric Cornel,198lb
March 23,1905, ,5-10,Roger Cormier,167lb
June 14,1990, ,6-2,Patrice Cormier,215lb
December 22,1945, ,5-9,Michel Cormier,170lb
March 27,2002, ,5-9,Lukas Cormier,180lb
