born_date,born_year,current_team,height,name,weight
February 14,1915, ,5-11,Murph Chamberlain,165lb
July 4,1953, ,5-10,Milan Chalupa,183lb
January 24,1934, ,6-0,Chick Chalmers,180lb
September 8,1999, ,6-1,Jocktan Chainey,194lb
May 8,1933, ,5-11,Ed Chadwick,184lb
September 16,1919, ,5-10,John Chad,167lb
January 30,1997,Ottawa Senators,6-2,Thomas Chabot,190lb
October 5,1900, ,6-1,Lorne Chabot,185lb
May 18,1962, ,6-2,John Chabot,200lb
February 12,1968, ,5-11,Frederic Chabot,187lb
,,, ,Martin Chabada,(Age: 43-213d)
,,, ,Jiri Cetkovsky,(Age: 37-070d)
December 10,1985, ,5-11,Roman Cervenka,201lb
June 3,1953, ,5-10,Frantisek Cernik,189lb
May 28,1997,Tampa Bay Lightning,6-3,Erik Cernak,233lb
,,, ,Peter Ceresnak,(Age: 27-353d)
April 24,1929, ,5-9,Ray Ceresino,160lb
,,, ,Cameron Cepek,(Age: 33-001d)
March 26,1981, ,6-1,Sebastien Centomo,200lb
,,, ,Patrick Cehlin,(Age: 29-170d)
August 2,1995, ,6-2,Peter Cehlarik,202lb
August 23,2000, ,6-1,Filip Cederqvist,187lb
January 30,1998, ,6-3,Jacob Cederholm,195lb
February 21,1995, ,6-2,Anton Cederholm,204lb
December 21,1993,Pittsburgh Penguins,6-2,Cody Ceci,210lb
March 2,1971, ,6-3,Roman Cechmanek,187lb
May 23,1997,Dallas Stars,6-3,Joseph Cecconi,210lb
,,, ,Julien Cayer,(Age: 31-191d)
December 26,1994, ,6-1,Colby Cave,200lb
March 24,1982, ,6-0,Tom Cavanagh,200lb
October 13,1965, ,6-1,Paul Cavallini,202lb
November 24,1962, ,6-1,Gino Cavallini,215lb
March 19,2001, ,6-3,Judd Caulfield,205lb
July 17,1960, ,6-4,Jay Caufield,237lb
January 2,2001, ,5-7,Cole Caufield,163lb
February 5,1999, ,6-0,Noah Cates,165lb
March 9,1993, ,5-10,Daniel Catenacci,193lb
May 7,1956, ,5-11,Tony Cassolato,180lb
June 12,1975, ,6-4,Frederic Cassivi,215lb
March 15,1952, ,5-11,Tom Cassidy,180lb
May 20,1965, ,5-11,Bruce Cassidy,176lb
May 4,1995, ,6-0,Cole Cassels,178lb
July 23,1969, ,6-1,Andrew Cassels,185lb
August 23,1968, ,5-11,Mike Casselman,190lb
June 24,1945, ,6-1,Wayne Cashman,208lb
March 29,1962, ,5-10,Jon Casey,155lb
,,, ,Benjamin Casavant,(Age: 29-358d)
March 21,1918, ,5-10,Joe Carveth,180lb
July 5,1988, ,6-2,Michael Caruso,191lb
Quebec,," in Verdun, ",5-9,Jean-Yves Cartier,180lb
August 3,1983, ,6-1,Ryan Carter,205lb
March 14,1958, ,6-1,Ron Carter,205lb
April 29,1945, ,6-1,Lyle Carter,185lb
May 3,1963, ,5-10,John Carter,181lb
,,, ,John Carter,(Age: 34-340d)
January 1,1985,Los Angeles Kings,6-3,Jeff Carter,220lb
December 2,1937, ,5-11,Billy Carter,155lb
June 6,1974, ,6-1,Anson Carter,210lb
,,, ,Mario Cartelli,(Age: 41-058d)
November 21,1960, ,6-2,Lindsay Carson,195lb
July 20,1968, ,6-1,Jimmy Carson,200lb
October 10,1905, ,5-10,Gerry Carson,175lb
January 12,1902, ,5-7,Frank Carson,165lb
November 29,1985, ,6-4,Brett Carson,220lb
November 25,1900, ,5-8,Bill Carson,158lb
July 19,1919, ,5-9,Bob Carse,170lb
May 29,1914, ,5-8,Bill Carse,165lb
November 7,1944, ,5-10,Dwight Carruthers,186lb
March 25,1992, ,6-2,Mac Carruth,190lb
,,, ,Chris Carrozzi,(Age: 30-317d)
December 2,1997, ,6-1,Noah Carroll,178lb
November 10,1956, ,6-0,Greg Carroll,185lb
June 3,1897, ,6-2,George Carroll,210lb
January 19,1959, ,5-10,Billy Carroll,190lb
March 26,1994, ,6-4,Austin Carroll,205lb
July 5,1907, ,6-1,Gene Carrigan,200lb
January 30,1952, ,6-1,Larry Carriere,190lb
December 20,1994,Vegas Golden Knights,6-2,William Carrier,218lb
,,, ,Samuel Carrier,(Age: 28-260d)
October 8,1996, ,5-11,Alexandre Carrier,174lb
July 4,1994, ,6-2,Trevor Carrick,196lb
February 4,1992, ,6-0,Sam Carrick,188lb
April 13,1994,New Jersey Devils,5-11,Connor Carrick,192lb
December 29,1916, ,5-8,Red Carr,178lb
July 2,1910, ,5-8,Lorne Carr,161lb
September 17,1951, ,5-11,Gene Carr,185lb
November 1,1991, ,6-0,Daniel Carr,193lb
,,, ,Hugo Carpentier,(Age: 32-302d)
January 18,1991,Chicago Blackhawks,6-0,Ryan Carpenter,200lb
June 15,1890, ,6-0,Ed Carpenter,170lb
July 13,1963, ,6-0,Bob Carpenter,200lb
June 25,1980, ,6-1,Sebastien Caron,170lb
November 2,1990, ,6-3,Jordan Caron,204lb
April 21,1940, ,6-2,Jacques Caron,185lb
,,, ,Francois Caron,(Age: 36-304d)
,,, ,Ed Caron,(Age: 38-258d)
April 27,1938, ,5-9,Alain Caron,182lb
February 3,1970, ,6-1,Keith Carney,207lb
February 1,1968, ,6-0,Patrik Carnback,187lb
,,, ,Mike Carman,(Age: 32-274d)
March 10,1950, ,5-10,Steve Carlyle,180lb
April 19,1956, ,5-10,Randy Carlyle,200lb
July 5,1997,Chicago Blackhawks,6-0,Lucas Carlsson,189lb
August 5,1988, ,6-0,Jonathan Carlsson,198lb
January 2,1997,Columbus Blue Jackets,6-5,Gabriel Carlsson,192lb
November 25,1960, ,5-11,Anders Carlsson,185lb
August 26,1955, ,6-3,Steve Carlson,180lb
January 11,1962, ,6-3,Kent Carlson,200lb
January 10,1990,Washington Capitals,6-3,John Carlson,217lb
July 20,1953, ,6-3,Jeff Carlson,210lb
August 23,1954, ,6-3,Jack Carlson,205lb
November 26,1996,Boston Bruins,6-5,Brandon Carlo,212lb
June 13,1950, ,5-10,Brian Carlin,175lb
August 4,1946, ,6-3,Wayne Carleton,212lb
September 25,1984, ,6-0,Matt Carle,197lb
September 30,1987, ,6-0,Mathieu Carle,201lb
,,, ,David Carle,(Age: 31-065d)
March 7,1966, ,6-3,Terry Carkner,210lb
November 3,1980, ,6-4,Matt Carkner,227lb
September 24,1988, ,6-1,Paul Carey,200lb
February 28,1992, ,6-0,Matt Carey,195lb
May 31,1974, ,6-2,Jim Carey,205lb
November 4,1892, ,5-6,George Carey,140lb
,,, ,Mitch Carefoot,(Age: 36-011d)
August 13,1950, ,5-11,Steve Cardwell,190lb
February 17,1941, ,5-10,Claude Cardin,178lb
August 29,1944, ,5-9,Jim Cardiff,165lb
February 18,1986, ,6-1,Mike Card,201lb
May 19,1996, ,5-9,Michael Carcone,170lb
January 28,1985, ,6-0,Daniel Carcillo,200lb
March 18,1960, ,5-11,Guy Carbonneau,186lb
June 5,1908, ,5-11,Leo Carbol,170lb
October 1,1988, ,6-3,Luca Caputi,200lb
July 7,1966, ,6-2,Jack Capuano,210lb
July 27,1968, ,6-2,Dave Capuano,190lb
May 2,1962, ,5-9,Frank Caprice,150lb
,,, ,Louie Caporusso,(Age: 31-206d)
December 17,2001, ,6-1,Nick Capone,202lb
August 13,1997,Arizona Coyotes,6-1,Kyle Capobianco,196lb
August 9,1986, ,5-11,Patrick Cannone,192lb
January 2,1990, ,6-1,Joe Cannata,205lb
,,, ,Trevor Cann,(Age: 31-289d)
February 13,1998, ,6-1,Cole Candella,189lb
February 16,1999, ,5-11,Nick Campoli,190lb
July 9,1984, ,6-0,Chris Campoli,200lb
July 6,1988, ,5-9,Carter Camper,176lb
April 3,1964, ,6-1,Dom Campedelli,185lb
June 4,1923, ,5-11,Tod Campeau,170lb
April 9,1952, ,6-0,Rychard Campeau,190lb
January 2,1961, ,6-4,Wade Campbell,220lb
June 22,1957, ,6-3,Scott Campbell,205lb
,,, ,Max Campbell,(Age: 32-023d)
,,, ,Joe Campbell,(Age: 38-201d)
February 3,1973, ,6-2,Jim Campbell,205lb
January 9,1992,Toronto Maple Leafs,6-2,Jack Campbell,197lb
December 17,1983, ,6-0,Gregory Campbell,188lb
,,, ,Evan Campbell,(Age: 27-318d)
July 23,1900, ,5-11,Earl Campbell,166lb
July 12,1925, ,5-10,Don Campbell,175lb
April 27,1896, ,6-0,Dave Campbell,200lb
May 12,1984, ,6-1,Darcy Campbell,180lb
January 28,1953, ,6-1,Colin Campbell,201lb
March 27,1944, ,6-0,Bryan Campbell,173lb
May 23,1979, ,5-10,Brian Campbell,192lb
February 4,1988, ,6-4,Andrew Campbell,205lb
February 27,2001, ,5-10,Alexander Campbell,154lb
February 14,1988, ,5-11,Matt Campanale,200lb
May 13,1995, ,5-7,Taylor Cammarata,156lb
June 8,1982, ,5-9,Mike Cammalleri,185lb
November 5,1921, ,6-2,Scotty Cameron,175lb
,,, ,Randy Cameron,(Age: 31-351d)
February 6,1890, ,5-10,Harry Cameron,155lb
July 29,1958, ,6-0,Dave Cameron,185lb
July 19,1945, ,6-0,Craig Cameron,200lb
,,, ,Bryan Cameron,(Age: 31-323d)
December 5,1896, ,5-11,Billy Cameron,160lb
October 21,1955, ,6-1,Al Cameron,205lb
August 12,1993, ,5-11,Tony Cameranesi,185lb
September 11,1962, ,6-2,Tony Camazzola,210lb
January 5,1964, ,5-11,James Camazzola,190lb
September 4,1993, ,6-0,Anthony Camara,192lb
December 24,1989,Colorado Avalanche,5-11,Matt Calvert,186lb
December 20,1972, ,5-10,Jan Caloun,190lb
,,, ,Chris Calnan,(Age: 26-253d)
February 13,1906, ,5-6,Patsy Callighen,175lb
December 25,1933, ,6-2,Larry Cahan,222lb
June 20,1994,Arizona Coyotes,5-10,Drake Caggiula,176lb
April 1,1949, ,5-9,Terry Caffery,165lb
June 30,1934, ,6-0,Jack Caffery,165lb
September 13,1948, ,6-1,Brian Cadle,165lb
,,, ,Frederik Cabana,(Age: 34-242d)
